Well,Target,Clone,Isotype,Plate,pct_pop,Type,Line,Passage,Day,File Name,preadjusted value,Comments
D6,1,NA,NA,3,0.75,SkMO,3,13,15,NA,,
D6,1,NA,NA,3,1.22,SkMO,3,15,20,NA,,
D6,1,NA,NA,3,0.022,SkMO,3,16,20,NA,,
D6,1,NA,NA,3,0.25,Myo,1,High,0,NA,,
D6,1,NA,NA,3,0.19,Myo,8,High,0,NA,,
D6,1,NA,NA,3,0.22,Myo,8,Low,0,NA,,
D6,1,NA,NA,3,0.15,Myo,1,Low,0,NA,,
D6,1,NA,NA,3,7.91,SkMO,1,,10,NA,,
D6,1,NA,NA,3,0.83,SkMO,8,,10,NA,,
A2,2,NA,NA,1,0.55,SkMO,3,13,15,NA,,
A2,2,NA,NA,1,1.41,SkMO,3,15,20,NA,,
A2,2,NA,NA,1,0.19,SkMO,3,16,20,NA,,
A2,2,NA,NA,1,0.14,Myo,1,High,0,NA,,
A2,2,NA,NA,1,0.31,Myo,8,High,0,NA,,
A2,2,NA,NA,1,0.042,Myo,8,Low,0,NA,,
A2,2,NA,NA,1,0.11,Myo,1,Low,0,NA,,
A2,2,NA,NA,1,0.13,SkMO,1,,10,NA,,
A2,2,NA,NA,1,0.032,SkMO,8,,10,NA,,
A11,3,NA,NA,1,1.29,SkMO,3,13,15,NA,,
A11,3,NA,NA,1,2.33,SkMO,3,15,20,NA,,
A11,3,NA,NA,1,0.2,SkMO,3,16,20,NA,,
A11,3,NA,NA,1,0.63,Myo,1,High,0,NA,,
A11,3,NA,NA,1,0.44,Myo,8,High,0,NA,,
A11,3,NA,NA,1,0.39,Myo,8,Low,0,NA,,
A11,3,NA,NA,1,0.42,Myo,1,Low,0,NA,,
A11,3,NA,NA,1,1.14,SkMO,1,,10,NA,,
A11,3,NA,NA,1,90.5,SkMO,8,,10,NA,,
A1,4,NA,NA,2,0.76,SkMO,3,13,15,NA,,
A1,4,NA,NA,3,0.73,SkMO,3,13,15,NA,,
A1,4,NA,NA,4,0.65,SkMO,3,13,15,NA,,
A1,4,NA,NA,1,0.58,SkMO,3,13,15,NA,,
A1,4,NA,NA,1,1.07,SkMO,3,15,20,NA,,
